id_temp,id,idgroup,text,order,
17666,21148,14866,Ὁ πάντα κόσμον ἐν λόγω | κτίσας πάλαι:· |,0,
17698,21152,14667,·:· θεόγραφον χάριν δὲ | τῶ κεκτημένω:~,2,
11638,19626,10869,<Ἡ> μὲν χεὶρ ἡ γράψασα. σήπεται τάφῳ.,0,
17845,21180,14872,(...) πατρίδα βλέπειν (...),0,
17838,21177,6342,ὥσπερ τοῖς | πινῶσην ἡδὺς ὁ ἄρτ(ος),0,
48384,32143,14872,ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
17915,21204,12290,"+πολύδωρον ἑκάβης τε καὶ τοῦ πριάμου παῖδα,",0,
17840,21177,3949,οὖτος κ(αὶ) τοις γράφουσην ὀ ἕσχατος στιχος::,2,
9811,19176,14872,+ ὥσπερ ξένοι χαίρουσιν πατρίδα ἐμβλέψαι·,0,
18136,21251,15327,"οἶδ’ ὅτι θνητὸς ἔφυν καὶ | ἐφάμερος, ἀλλ’ ὅταν ἄστρων· |  ",0,
18868,21424,9033,"κεραννύων ἄριστα περιπλέκων,",1,
18957,21452,6353,+ μὴ τεμνέτω τίς | φύλλα τὰ τῶν | βιβλίων +,0,
19129,21481,10869,(καὶ) χεῖρ | μὲν σίπετε τάφω· |,1,
19166,21495,10869,"+ Εἰ μὲν χειρ ι γράψασα σύπεται τάφῳ,",0,
19241,21505,5354,Γραμματικῆς εἰμὶ τέχν(ης) πυκτίον·,0,
19303,21512,10869,εἰ μὲν χεὶρ ἡ γράψασα σύπτεται τάφῳ:,0,
19305,21513,10869,"+ εἰ μὲν χυρὶ γράψασα, σίπεται τάφω·",0,
19419,21535,10869,Ἡ μὲν χεὶρ ἡ γράψασα σήπεται τύμβῳ,0,
19504,21563,10869,"+ ἡ μὲν χεὶρ ἡ γράψασα, σήπεται τάφω.",0,
17849,21183,14872,"Ὥσπερ οἱ ξένοι χαίρουσιν ἰδεῖν π(ατ)ρίδα,",0,
7186,18548,14872,"+ ὥσπερ ξένοι χαίρου(σ)ιν ἰδ(εῖν) π(ατ)ρίδα,",0,
16519,20878,14872,ὥσπερ ξένοι χαίρουσιν ἰδ(εῖ)ν π(ατ)ρίδα·,0,
48414,32232,14872,+ ὧσπερ ξένοι χαίρουσην ειδήν πατρίδα ,0,
19886,21663,14872,ώσπερ ξεν(οι) χέροντες ϊδὶν πατρΐδα,0,
245,16941,14802,και η στρατεβόμενοι ηδὶν τον ηκος,2,
14734,20482,14802,"καὶ οἱ στρατευόμενοι ἰδεῖν τό κέρδος,",2,
48417,32232,14802,καί οἱ στρατευόμενοι ειδήν το νήκος | ,3,
12618,19887,14802,κ(αὶ) οἱ στρατεβομ(εν)οι ἰδεῖν τω νικος·,3,
19888,21663,14802,"και οἱ στρ<α>ττεβόμ(εν)οι ἱδιν τὸ ν<ῖκος>,",2,
20173,21749,10869,"Καὶ χεὶρ μεν ή γράψασα σήπεται τάφω, ",1,
20263,21760,14872,ωσπερ ξενι χεροντες ιδειν πατρίδα,0,
20323,21775,14872,Ὥσπερ ξένοι χαίροντες ἰδῆν πατρίδα,0,
20678,21852,5549,δόξα τῶ λόγω τῶ δόντι τέλος· ἀμήν :,0,
20787,21896,15261,ἄρξον χείρ μου ἀγαθὴ ,0,
21521,22052,14872,"Ὥσπερ ξένοι χαίρ(ον)τες, ἰδεῖν π(ατ)ρίδα",0,
21524,22053,5549,Δόξα τῶ θ(ε)ῶ τῶ δϊδόντι τὸ τέλος:·,0,
21545,22057,5354,Τῆς γραμματικῆς τέχνης εἰμὶ πιξίον·,0,
21583,22064,14872,+ οσπερ ξένοι | χαιρουσιν ηδ(ειν) | π(ατρι)δα,0,
21661,22089,14872,+ὥσπερ ξένοι χαίροντες ἰδεῖν π(ατ)ρίδα,0,
21679,22093,14667,θεόσδοτον χάριν τε τῶ κεκτημένω,2,
21693,22101,10869,"+ Ἡ μὲν χεὶρ ἡ γράψασα, | (...) τάφω·",0,
22150,22170,14872,Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
22155,22173,14872,"ὥσπερ ξένοι χαίρουσιν ἰδ(εῖν) π(ατ)ρίδα,",0,
22611,22264,12121,γαῖα βροτὸς καὶ ὕδωρ τὰ ἀπ’ αὐτόφ(ιν) εἰς τάδε | δύνει,4,
22612,22264,12122,ὥστε μάτην ὁ βίο(ς) (καὶ) ὅσα τ(ις) πονέει+,5,
23064,22326,14872,+ ὥσπερ ξένοι χαίρουσι ἰδεῖν π(ατ)ρίδα,,0
23353,22398,14932,παιδός σου χείρεσιν λιπεῖν βίον ὡς ἐπένευσε ,2,
6874,18472,14872,ὅσπερ (!) ξένοι χαίρωντες (!) ἰδεῖν πατρίδα,0,
12070,19736,14872,ὢσπερι ξἐνη χερουσιν ἠδὶν πατρίδα,0,
24991,22893,14872,"Ὥσπερ ξένη χαίρουσ(ι) ἰδεῖν π(ατ)ρίδ(α),",0,
23776,22494,15261,+ ἄρξου χεῖραν ἀγαθην ,0,
42240,28568,14872,+ ὥσπερ ξένοι | χ(...)ρ(ὸν)τ(ες) ἐδιν | π(ατ)ρίδα,0,
